"";"homo_code_eps";"ANIO_";"def_mat_42d_no";"def_mat_42d_si";"def_mat_1y_si";"def_mat_1y_no";"No_Definido";"N_Enfermedades_dentales";"M_Anomalias_congenitas";"L_Enfermedades_del_sistema_musculo_esqueletico";"K_Enfermedades_de_la_piel";"J_Enfermedades_del_sistema_genito_urinario";"I_Enfermedades_digestivas";"H_Enfermedades_respiratorias";"G_Enfermedades_cardiovasculares";"F_Enfermedades_de_los_organos_de_los_sentidos";"Eventos_lesiones_de_intencion_no_determinada";"E_Trastornos_mentales_y_enfermedades_del_sistema_nervioso";"E_Deficiencias_de_la_nutricion";"D_Otras_enfermedades_endocrinas_metabolicas_hematologicas_e_immunologicas";"D_Ciertas_afecciones_originadas_en_el_periodo_perinatal";"C_Diabetes_mellitus";"C_Causas_maternas";"B_Otros_tumores";"B_Lesiones_intencionales";"B_Infecciones_respiratorias";"A_Tumores_malignos";"A_Enfermedades_infecciosas_y_parasitarias";"A_Accidentes";"Signos_y_sintomas_mal_definidos";"Lesiones";"Enfermedades_no_transmisibles";"Condiciones_transmisibles_y_nutricionales";"Asegurados";"CONTRIBUTIVO";"EXCEPCION";"SUBSIDIADO";"FEMENINO";"MASCULINO";"COMUNIDADES_INDIGENAS";"De_0_a_9";"De_10_a_19";"De_20_a_29";"De_30_a_39";"De_40_a_49";"De_50_a_59";"De_60_a_69";"De_70_a_79";"Mayor_De_80";"OP_MEDI_GENERAL";"OP_ODO_GENERAL";"Conteo_de_Prestadores";"Costo_Consulta";"Costo_Procedimiento";"Neto_A_Pagar_Consulta";"Numero_de_Atenciones";"Numero_Dias_Estancia";"Valor_Cuota_Moderadora";"Atx_Conteo_de_Prestadores";"Costo_Consulta_xAt";"Costo_Procedimiento_xAt";"Neto_A_Pagar_Consulta_xAt";"Numero_Dias_Estancia_xAt";"Valor_Cuota_Moderadora_xAt";"deaths_percentage_group"
"1";"CCF007";2014;915;2;2;915;0;0;8,14781620008074;3,70355281821852;1,85177640910926;13,7031454274085;11,1106584546556;16,6659876819833;110,736229264734;0;1,11106584546556;4,81461866368407;5,92568450914963;4,44426338186222;51,4793841732374;10,7403031728337;0,740710563643703;4,81461866368407;4,44426338186222;14,4438559910522;0;0;0;0,152449717820138;0,048996241171656;0,00411862701889923;0,0103540015345054;270011;0;0;1;0,526548918377399;0,473451081622601;0,0000185177640910926;0,178944561517864;0,238519912151727;0,176215043090837;0,112317646318113;0,0999959260919;0,0823336827018158;0,0514941983845103;0,033794919466244;0,0263841102769887;1,49738406901265;1,38700338386927;0,000314801989548574;14676,3329123628;42741,3781216321;14676,3180500054;1,57455437000715;0,0169696790130772;0,0148623574595109;5001,72941176471;9320,94387588293;27145,0633498531;9320,9344367948;0,0107774487412589;0,00943908812716543;0
"2";"CCF007";2015;1042;3;6;1039;0;0;6,27923770054315;5,10188063169131;3,92452356283947;17,2679036764937;12,5584754010863;27,4716649398763;127,939468148567;0;2,35471413770368;10,9886659759505;4,70942827540737;4,70942827540737;66,716900568271;16,8754513202097;2,35471413770368;5,49433298797526;6,6716900568271;22,369784308185;0;0;0;0,112998148148148;0,029368355683495;0,00290867179078627;0,00990382441550762;254808;0;0;1;0,53326818624219;0,46673181375781;0,0000196226178141974;0,174476468556717;0,230032024112273;0,166117233367869;0,112359109604094;0,101441085052275;0,0901031364792314;0,0571646102163197;0,0375223697843082;0,0307839628269128;2,18054591580308;1,1474269278607;0,0000941885655081473;5492,40283664563;7315,83991083482;5492,40278562682;0,671972622523626;0,000541584251671847;0,0000510188063169131;7134,33333333333;8173,55149978975;10887,1100780264;8173,55142386581;0,00080596178105873;0,0000759239358968369;0
"3";"CCF007";2016;968;0;0;968;0;0;10,2200287012473;5,11001435062363;2,12917264609318;12,7750358765591;12,7750358765591;20,8658919317132;121,362840827311;0;3,40667623374909;8,94252511359136;9,36835964281;2,12917264609318;74,0952080840427;17,0333811687454;0;5,53584887984227;12,3492013473405;16,6075466395268;0;0;0;0,213795513265455;0,0477891980329284;0,00356777695922918;0,0168928665264252;234833;0;0;1;0,532659379218423;0,467340620781577;0,0000511001435062363;0,175541767979798;0,228438933199337;0,160109524640915;0,106360690362939;0,0990107863886251;0,0936665630469312;0,0612009385393024;0,0405607389080751;0,0351100569340766;10,9305875162529;1,84788944013695;0,0000809085605515409;47965,3869813868;47376,6462337065;47964,7947587009;4,54552809869141;0,00243151516183841;0,59222268590871;56181,0526315789;10552,2143830098;10422,6935143896;10552,0840961272;0,000534924679607285;0,13028688263509;0
"4";"CCF007";2017;1026;3;4;1025;0;0;11,5417997820908;4,61671991283633;6,92507986925449;14,3118317297926;19,3902236339126;27,700319477018;138,50159738509;0,461671991283633;3,23170393898543;9,69511181695629;8,31009584310539;2,7700319477018;85,4093183874721;19,8518956251962;1,84668796513453;7,84842385182176;7,84842385182176;19,8518956251962;0;0;0;0,193165933454599;0,0290533458908115;0,0027925793152481;0,00986773078213391;216604;0;0;1;0,526740041735148;0,473259958264852;0,0000554006389540359;0,16441524625584;0,225489833982752;0,16262395892966;0,107851193883769;0,0977221103950066;0,0956676700337944;0,0641770235083378;0,0422106701630625;0,0398422928477775;1,51;1,69;0,0000692507986925449;14272,5490018652;14183,9532972614;14272,5260106;1,2474838876475;0,00041550479215527;0,0229912651659249;18014;11441,0688131453;11370,0492949928;11441,0503830354;0,000333074275563451;0,0184301099145109;0,333333343267441
"5";"CCF007";2018;982;0;1;981;0;0;10,2202737957559;4,84118232430543;4,84118232430543;20,9784567386568;15,0614561200613;34,426185417283;174,282563674995;0;2,68954573572524;6,99281891288561;7,53072806003066;5,37909147145047;83,9138269546274;18,8268201500767;0,537909147145047;9,68236464861085;3,76536403001533;26,3575482101073;0;0;0;NA;NA;NA;NA;185905;0;0;1;0,526139695005514;0,473860304994486;0,0000376536403001533;0,165347892740916;0,212657002232323;0,14481590059439;0,10914176595573;0,100868723272639;0,101707861542186;0,0714558511067481;0,0460504020870875;0,047954600467981;2,115;3,02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
"6";"CCF007";2019;865;1;1;865;2;0;5,79348168937926;5,79348168937926;9,0120826279233;20,5990460066818;18,0241652558466;28,3236882591875;169,298409367416;0;3,86232112625284;14,8055643173026;6,43720187708807;6,43720187708807;63,7282985831719;17,3804450681378;0,643720187708807;8,36836244021449;25,7488075083523;30,2548488223139;0;0;0;NA;NA;NA;NA;155347;0;0;1;0,521419789246011;0,478580210753989;0,0000321860093854403;0,162726026250909;0,225694735012585;0,123877512922683;0,0996092618460608;0,100838767404585;0,101855845301164;0,0756306848539077;0,0497724449136449;0,0599947214944608;0,57;1,915;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"CCF007";2020;853;3;6;850;84;0;83,1946755407654;27,7315585135885;97,0604547975596;187,188019966722;180,255130338325;242,651136993899;1684,6921797005;0;62,396006655574;138,657792567942;97,0604547975596;34,6644481419856;409,04048807543;235,718247365502;41,5973377703827;90,1275651691625;270,382695507488;339,711591791459;0;0;0;NA;NA;NA;NA;14424;0;0;1;0,457362728785358;0,542637271214642;0;0,0184414864115363;0,062534664448142;0,0743205768164171;0,0610787576261786;0,0606627842484748;0,0775790349417637;0,109886300610094;0,137825845812535;0,397670549084859;2,685;2,875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"CCF009";2012;836;0;0;836;0;0;8,77549880732994;11,1688166638745;7,97772618848176;12,7643619015708;35,8997678481679;70,2039904586395;230,556286847123;0;8,77549880732994;8,77549880732994;6,38218095078541;6,38218095078541;52,6529928439796;18,348770233508;0;7,97772618848176;13,562134520419;18,348770233508;94,9349416429329;8,77549880732994;27,9220416596862;0,0793480545649879;0,0348977579265358;0,0258040877204179;0,0798394616231482;125349;0;0;1;0,532975931200089;0,467024068799911;0,000103710440450263;0,148999992022274;0,223392288729866;0,14287309830952;0,112828981483698;0,113818219531069;0,0944323448930586;0,0676989844354562;0,0527567032844299;0,0431993873106287;1,5164635691436;1,91063914465187;0,00197847609474348;43775,6468898834;58412,6761202722;43676,6449193851;3,59143670870928;0,236116762000495;104,512273731741;1815,25403225806;12188,8955424794;16264,4314401032;12161,3294238121;0,0657443750652512;29,1004080562793;0
"9";"CCF009";2013;794;3;3;794;0;0;6,61687468466457;3,30843734233228;1,65421867116614;16,5421867116614;47,9723414638181;70,304293524561;255,576784695169;0;0,827109335583071;4,96265601349842;7,44398402024764;4,96265601349842;52,9349974773165;17,3692960472445;2,48132800674921;6,61687468466457;9,09820269141378;9,92531202699685;86,0193709006394;7,44398402024764;22,3319520607429;0,0998822165978787;0,0384416219338368;0,0274143817082013;0,0723489335114375;120903;0;0;1;0,532807291795902;0,467192708204097;0,0000992531202699685;0,144148615005418;0,212848316418947;0,138987452751379;0,108318238587959;0,117160037385342;0,100526868646766;0,0727773504379544;0,0558877778053481;0,049345342960886;1,69791657856895;1,14827626515564;0,00224146629943012;56364,8348593501;77935,9460972846;56215,9429211848;4,56774439013093;0,333068658345947;154,764811460427;2037,83763837638;12339,752412839;17062,2389172374;12307,1560314638;0,0729175343229746;33,8821085949581;0
"10";"CCF009";2014;801;1;1;801;0;0;10,9056743062313;8,38898023556257;4,19449011778128;22,6502466360189;44,4615952484816;81,3731082849569;217,27458810107;0;4,19449011778128;7,55008221200631;9,22787825911882;2,51669407066877;34,3948189658065;15,1001644240126;0,838898023556257;10,9056743062313;10,0667762826751;27,6836347773565;110,734539109426;12,5834703533438;31,8781248951377;0,0882355622853819;0,0419155665917251;0,0282269021313602;0,0794154508237979;119204;0;0;1;0,526031005670951;0,473968994329049;0,000184557565182376;0,135716922250931;0,199666118586625;0,141765377000772;0,11034864601859;0,119467467534646;0,105248146035368;0,0759957719539613;0,0573470688903057;0,0544444817288011;1,75975616527947;1,72962097114169;0,00223146874265964;66603,6382587833;22730,959674172;66392,2644626019;3,51148451394249;0,426764202543539;164,504135767256;1573,62030075188;18967,373483873;6473,31907172532;18907,1784878985;0,121533841555916;46,8474615548171;0
