"CITY","YEAR","VALUE","EPS","VAR_INTERES","TYPE_USER"
NA,"2009",21.3762811127379,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
NA,"2010",20.2783300198807,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05001 - Medellín","2009",100,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05030 - Amagá","2009",18.3908045977011,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05030 - Amagá","2010",19.3548387096774,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05045 - Apartadó","2009",21.1267605633803,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05045 - Apartadó","2010",16.8316831683168,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05086 - Belmira","2009",26.2295081967213,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05086 - Belmira","2010",30.4347826086957,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05091 - Betania","2009",26.6666666666667,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05091 - Betania","2010",28.5714285714286,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05129 - Caldas","2009",19.5020746887967,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05129 - Caldas","2010",11.1111111111111,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05147 - Carepa","2009",30.9278350515464,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05147 - Carepa","2010",40.625,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05154 - Caucasia","2009",35.7142857142857,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05154 - Caucasia","2010",50,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05172 - Chigorodó","2009",29.5918367346939,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05172 - Chigorodó","2010",13.953488372093,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05190 - Cisneros","2009",17.1428571428571,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05190 - Cisneros","2010",20,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05250 - El Bagre","2009",12,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05364 - Jardín","2009",34.4827586206897,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05390 - La Pintada","2009",16.6666666666667,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05390 - La Pintada","2010",25,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05480 - Mutatá","2009",17.6470588235294,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05480 - Mutatá","2010",100,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05579 - Puerto Berrío","2009",23.5294117647059,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05579 - Puerto Berrío","2010",25,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05585 - Puerto Nare","2009",16.2162162162162,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05591 - Puerto Triunfo","2009",29.6296296296296,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05591 - Puerto Triunfo","2010",39.1304347826087,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05604 - Remedios","2009",28.5714285714286,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05642 - Salgar","2009",16,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05642 - Salgar","2010",12.5,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05679 - Santa Bárbara","2009",22.2222222222222,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05679 - Santa Bárbara","2010",22.2222222222222,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05690 - Santo Domingo","2009",22.7272727272727,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05736 - Segovia","2009",13.4615384615385,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05736 - Segovia","2010",27.027027027027,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05837 - Turbo","2009",15.5737704918033,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05837 - Turbo","2010",19.047619047619,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05861 - Venecia","2009",16.6666666666667,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05861 - Venecia","2010",12.5,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05873 - Vigía Del Fuerte","2009",20,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05887 - Yarumal","2009",17.9487179487179,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
"05887 - Yarumal","2010",10,"CCF001","Condiciones transmisibles y nutricionales","1 - CONTRIBUTIVO"
