"CITY","YEAR","VALUE","EPS","VAR_INTERES","TYPE_USER"
NA,"2009",27.0174381631355,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
NA,"2010",18.3410690223087,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05001 - Medellín","2009",29.7297297297297,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05001 - Medellín","2010",28.5714285714286,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05002 - Abejorral","2009",57.1428571428571,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05030 - Amagá","2009",14.7940074906367,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05030 - Amagá","2010",6.82352941176471,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05042 - Santafé De Antioquia","2009",100,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05045 - Apartadó","2009",27.8080697928026,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05045 - Apartadó","2010",19.8177676537585,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05086 - Belmira","2009",40.8017179670723,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05086 - Belmira","2010",23.1428571428571,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05088 - Bello","2009",100,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05091 - Betania","2009",27.1895424836601,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05091 - Betania","2010",15.9362549800797,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05129 - Caldas","2009",22.2343921139102,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
"05129 - Caldas","2010",12.8205128205128,"CCF001","Condiciones transmisibles y nutricionales","2 - SUBSIDIADO"
