CITY;YEAR;VALUE;EPS;VAR_INTERES;TYPE_USER
;2010;23,65591;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
;2013;36,94141;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
;2014;38,76698;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
;2015;45,45455;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
;2016;12,50000;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
;2017;33,33333;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
76001 - Cali;2010;23,65591;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
76001 - Cali;2013;36,94141;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
76001 - Cali;2014;38,76698;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
76001 - Cali;2015;45,45455;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
76001 - Cali;2016;12,50000;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
76001 - Cali;2017;33,33333;RES007;Condiciones transmisibles y nutricionales;4 - PARTICULAR
