CITY;YEAR;VALUE;EPS;VAR_INTERES;TYPE_USER
;2010; 88,17204;RES007;Enfermedades no transmisibles;4 - PARTICULAR
;2011;100,00000;RES007;Enfermedades no transmisibles;4 - PARTICULAR
;2012;100,00000;RES007;Enfermedades no transmisibles;4 - PARTICULAR
;2013; 91,06256;RES007;Enfermedades no transmisibles;4 - PARTICULAR
;2014; 90,90909;RES007;Enfermedades no transmisibles;4 - PARTICULAR
;2015;100,00000;RES007;Enfermedades no transmisibles;4 - PARTICULAR
;2016; 75,00000;RES007;Enfermedades no transmisibles;4 - PARTICULAR
;2017;100,00000;RES007;Enfermedades no transmisibles;4 - PARTICULAR
76001 - Cali;2010; 88,17204;RES007;Enfermedades no transmisibles;4 - PARTICULAR
76001 - Cali;2011;100,00000;RES007;Enfermedades no transmisibles;4 - PARTICULAR
76001 - Cali;2012;100,00000;RES007;Enfermedades no transmisibles;4 - PARTICULAR
76001 - Cali;2013; 91,06256;RES007;Enfermedades no transmisibles;4 - PARTICULAR
76001 - Cali;2014; 90,90909;RES007;Enfermedades no transmisibles;4 - PARTICULAR
76001 - Cali;2015;100,00000;RES007;Enfermedades no transmisibles;4 - PARTICULAR
76001 - Cali;2016; 75,00000;RES007;Enfermedades no transmisibles;4 - PARTICULAR
76001 - Cali;2017;100,00000;RES007;Enfermedades no transmisibles;4 - PARTICULAR
