CITY;YEAR;VALUE;EPS;VAR_INTERES;TYPE_USER
;2010;11,82796;RES007;Lesiones;4 - PARTICULAR
;2013;22,34359;RES007;Lesiones;4 - PARTICULAR
;2014;30,51202;RES007;Lesiones;4 - PARTICULAR
;2015;45,45455;RES007;Lesiones;4 - PARTICULAR
;2016;50,00000;RES007;Lesiones;4 - PARTICULAR
;2017;33,33333;RES007;Lesiones;4 - PARTICULAR
76001 - Cali;2010;11,82796;RES007;Lesiones;4 - PARTICULAR
76001 - Cali;2013;22,34359;RES007;Lesiones;4 - PARTICULAR
76001 - Cali;2014;30,51202;RES007;Lesiones;4 - PARTICULAR
76001 - Cali;2015;45,45455;RES007;Lesiones;4 - PARTICULAR
76001 - Cali;2016;50,00000;RES007;Lesiones;4 - PARTICULAR
76001 - Cali;2017;33,33333;RES007;Lesiones;4 - PARTICULAR
